region_acronym,region,water_nordic,land_nordic
FR,France,18.193,1123.543
AT,Austria,1.627,139.993
AU,Australia,6.312,1131.223
BE,Belgium,11.570,167.722
BG,Bulgaria,1.365,324.094
BR,Brazil,18.414,2421.299
CA,Canada,1.689,1375.337
CH,Switzerland,0.145,28.015
CN,China,50.730,815.521
CY,Cyprus,1.515,12.553
CZ,Czech Republic,0.599,266.362
DE,Germany,16.468,1973.998
DK,Denmark,78.367,12260.330
EE,Estonia,0.672,929.820
ES,Spain,199.415,1752.012
FI,Finland,33.879,14336.168
GB,United Kingdom,4.666,432.581
GR,Greece,17.793,519.701
HR,Croatia,0.065,80.947
HU,Hungary,1.681,427.073
ID,Indonesia,3.712,572.397
IE,Ireland,4.737,147.304
IN,India,134.492,1133.888
IT,Italy,29.899,987.676
JP,Japan,0.126,46.731
KR,Korea,0.309,13.640
LT,Lithuania,0.857,570.706
LU,Luxembourg,0.046,12.593
LV,Latvia,0.729,639.119
MT,Malta,0.061,0.945
MX,Mexico,36.983,241.257
NL,Netherlands,32.536,435.012
NO,Norway,62.558,5421.483
PL,Poland,14.068,1228.528
PT,Portugal,5.430,74.662
RO,Romania,2.841,288.370
RU,Russia,17.699,5061.771
SE,Sweden,65.894,16340.294
SI,Slovenia,0.031,5.223
SK,Slovakia,1.974,163.840
TR,Turkey,31.968,409.059
TW,Taiwan,0.089,7.413
US,United States,81.504,2720.554
WA,Rest of Asia,544.028,8136.158
WE,Rest of Europe,17.210,1486.076
WF,Rest of Africa,115.122,6223.199
WL,Rest of Latin America,136.799,3813.431
WM,Rest of Middle East,524.091,1436.227
ZA,South Africa,20.846,387.466
